# pair
86.794	0.345	86.720	11.558	2.329	2.001	-6.0086	1.327       1.314      1.315      -9.483      13.048      -7.623      -5.7576	1545.9298785186470013  -371313.56031413417077
86.806	0.348	86.723	11.243	2.476	4.433	-5.9933	1.319       1.329      1.309      -6.053      16.742      -4.719      -5.7340	1545.394576363175247  -371311.61991418758407
86.816	0.350	86.729	9.876	2.108	6.413	-5.9787	1.315       1.347      1.305      -2.324      20.190      -1.556      -5.7347	1544.3372575249738929  -371310.27691152394982
86.825	0.352	86.736	7.856	1.243	7.987	-5.9721	1.315       1.369      1.305      1.558      23.292      1.794      -5.7632	1543.6759620660275232  -371309.28423159301747
86.832	0.352	86.745	5.713	0.210	9.453	-5.9836	1.318       1.394      1.309      5.418      25.940      5.227      -5.8158	1544.0229300554801739  -371308.41148633242119
86.837	0.352	86.755	3.722	-0.717	10.828	-6.0119	1.326       1.421      1.316      9.076      28.024      8.626      -5.8764	1545.2552285437589035  -371307.89104224881157
86.840	0.351	86.767	2.130	-1.498	11.913	-6.0481	1.336       1.450      1.326      12.379      29.449      11.871      -5.9280	1546.5773444398801075  -371307.02991967997514
86.841	0.349	86.779	1.079	-2.102	12.577	-6.0810	1.350       1.480      1.340      15.219      30.137      14.864      -5.9702	1547.6015569139688068  -371306.10704924812308
86.842	0.347	86.792	0.375	-2.515	12.984	-6.1056	1.367       1.510      1.356      17.532      30.040      17.544      -5.9999	1548.3281694459112714  -371304.75553729699459
86.842	0.344	86.805	-0.202	-2.735	13.316	-6.1195	1.385       1.540      1.375      19.290      29.138      19.869      -6.0119	1549.2349855560660217  -371303.76571248960681
86.841	0.341	86.818	-0.651	-2.776	13.544	-6.1206	1.405       1.568      1.396      20.493      27.449      21.809      -6.0044	1550.5814012893270046  -371303.23523307347205
86.840	0.339	86.832	-0.801	-2.654	13.464	-6.1071	1.426       1.595      1.418      21.169      25.023      23.346      -5.9777	1551.7235368939630007  -371302.38939357257914
86.840	0.336	86.845	-0.423	-2.383	12.828	-6.0769	1.448       1.619      1.442      21.367      21.947      24.474      -5.9376	1552.3445209410037933  -371301.15217167302035
86.840	0.334	86.858	0.441	-1.977	11.682	-6.0356	1.469       1.639      1.467      21.147      18.336      25.193      -5.8924	1552.6279823103054696  -371300.40189126861515
86.841	0.332	86.869	1.585	-1.455	10.238	-5.9910	1.490       1.655      1.493      20.573      14.320      25.498      -5.8481	1552.5163938180128298  -371299.98859470622847
86.843	0.331	86.878	2.821	-0.841	8.688	-5.9494	1.510       1.667      1.518      19.708      10.033      25.379      -5.8086	1551.7304634359140891  -371299.13587915629614
86.846	0.330	86.886	3.958	-0.164	7.217	-5.9138	1.530       1.675      1.543      18.612      5.611      24.817      -5.7757	1550.5668280029030939  -371297.308854712639
86.851	0.331	86.893	4.774	0.630	5.970	-5.8827	1.548       1.679      1.568      17.337      1.182      23.783      -5.7479	1549.8056357914297223  -371296.14481002860703
