LJ_3n				
N	4000	R	1	30
553	5.00300075	5769.989616	13805.23225	
554	5.010252563	5669.876654	13547.07436	
555	5.017504376	5571.635805	13294.09963	
556	5.024756189	5475.229481	13046.19681	
557	5.032008002	5380.620902	12803.25718	
558	5.039259815	5287.774076	12565.17451	
559	5.046511628	5196.65378	12331.84499	
560	5.053763441	5107.225547	12103.16717	
561	5.061015254	5019.455643	11879.04191	
562	5.068267067	4933.311053	11659.37232	
563	5.07551888	4848.759465	11444.0637	
564	5.082770693	4765.769256	11233.02349	
565	5.090022506	4684.309471	11026.16123	
566	5.097274319	4604.349812	10823.3885	
567	5.104526132	4525.860623	10624.61887	
568	5.111777944	4448.812874	10429.76786	
569	5.119029757	4373.178149	10238.75288	
570	5.12628157	4298.928628	10051.4932	
571	5.133533383	4226.037079	9867.909887	
572	5.140785196	4154.476843	9687.925795	
573	5.148037009	4084.221817	9511.465487	
574	5.155288822	4015.246448	9338.455213	
575	5.162540635	3947.525718	9168.822865	
576	5.169792448	3881.035129	9002.497941	
577	5.177044261	3815.750698	8839.411506	
578	5.184296074	3751.648939	8679.496155	
579	5.191547887	3688.706857	8522.685976	
580	5.1987997	3626.901932	8368.916514	
581	5.206051513	3566.212115	8218.124742	
582	5.213303326	3506.615811	8070.249022	
583	5.220555139	3448.091875	7925.229074	
584	5.227806952	3390.619596	7783.005945	
585	5.235058765	3334.178693	7643.521979	
586	5.242310578	3278.749301	7506.720784	
587	5.249562391	3224.311966	7372.547205	
588	5.256814204	3170.847633	7240.947292	
589	5.264066017	3118.337638	7111.868279	
590	5.271317829	3066.763699	6985.258547	
591	5.278569642	3016.107911	6861.067605	
592	5.285821455	2966.352732	6739.246061	
593	5.293073268	2917.48098	6619.745595	
594	5.300325081	2869.475823	6502.518939	
595	5.307576894	2822.320772	6387.519847	
596	5.314828707	2775.999673	6274.703077	
597	5.32208052	2730.4967	6164.024363	
598	5.329332333	2685.796348	6055.440397	
599	5.336584146	2641.883427	5948.908803	
600	5.343835959	2598.743053	5844.388118	
601	5.351087772	2556.360643	5741.837774	
602	5.358339585	2514.72191	5641.218069	
603	5.365591398	2473.812852	5542.490157	
604	5.372843211	2433.61975	5445.616023	
605	5.380095024	2394.129161	5350.558463	
606	5.387346837	2355.327912	5257.281072	
607	5.39459865	2317.203093	5165.748218	
608	5.401850463	2279.742053	5075.92503	
609	5.409102276	2242.932394	4987.77738	
610	5.416354089	2206.761965	4901.271863	
611	5.423605901	2171.218859	4816.375785	
612	5.430857714	2136.291402	4733.057144	
613	5.438109527	2101.968157	4651.284615	
614	5.44536134	2068.237911	4571.027538	
615	5.452613153	2035.089674	4492.255896	
